full_name,ast_x,ast_y,ast_z,r_au,class
  5189 (1990 UQ),0.33545884187608144,1.9384576602575385,-0.10065898007757121,1.9698433860269777,APO
  5604 (1992 FE),0.5616803023082826,0.08212276613781999,0.0388621982504024,0.5689808267174778,ATE
  5693 (1993 EA),-1.659896696147402,0.7829860163179341,0.1374595501136831,1.8404399668416098,APO
  6037 (1988 EG),-0.9891165435466952,-1.6162556208357686,0.0967916964043045,1.8973672288446957,APO
  6239 Minos (1989 QF),1.128384221510503,1.1655974102006676,0.09814787910009225,1.6252696023097872,APO
  6489 Golevka (1991 JX),-1.862230987698973,2.994824542537201,-0.1389646308980082,3.5293327217435966,APO
  6491 (1991 OA),-1.039551734013981,3.506428585503421,0.09177169829378053,3.6584328991433916,AMO
  7335 (1989 JA),-0.5776488670213288,2.4908335174878395,0.4617355575234332,2.5982935843536508,APO
  7341 (1991 VK),1.1303448148841055,-2.5168101191385768,-0.0024365047481316564,2.758988675744993,APO
  7482 (1994 PC1),1.2638190509267522,-1.107616725270331,-0.39668170421107485,1.7266759331269348,APO
  7753 (1988 XB),-0.28882863998115,-1.165608601748953,-0.0030753052608970075,1.200864210994298,APO
  7822 (1991 CS),-1.0725974908028033,-0.4035920327910049,0.6001154008212284,1.2936345699275624,APO
  8014 (1990 MF),-0.6937622600817184,2.0780145870014683,-0.07012603837914343,2.1918869401872287,APO
  8566 (1996 EN),-1.3785265750926812,0.03597999066900909,0.26801440700574225,1.404799558772688,APO
  9856 (1991 EE),1.1154645827045995,2.3514005927452795,-0.43852372315616084,2.639251605778035,APO
 10115 (1992 SK),-0.19228923650015134,-0.8011621364374426,-0.20872667443332937,0.8499427886362798,APO
 11500 Tomaiyowit (1989 UR),0.15783323191822668,0.8905536875684258,-0.07101122678217976,0.9072154065427813,APO
 12538 (1998 OH),2.0529730908749957,-0.09676678732482535,0.6446042250084701,2.1539677179300467,APO
 12923 Zephyr (1999 GK4),-2.2696626178405133,1.8235358482609065,-0.12225991817768367,2.914034810414606,APO
 13651 (1997 BR),0.8519515761805346,1.4372855142544367,-0.4365145950482138,1.7268920433345694,APO
 14827 Hypnos (1986 JK),-0.2600309070192961,4.1038485410411765,0.08292839253021383,4.112914543082402,APO
 16960 (1998 QS52),1.5395975634672556,-2.4745047180188795,0.6124918883069086,2.97803300354005,APO
 20236 (1998 BZ7),2.5695583147469425,1.8292320358114942,-0.34890572796513536,3.1733980180133554,APO
 20425 (1998 VD35),2.1355139531152636,0.2480507795214667,0.17158833333447024,2.156708508191983,APO
 22753 (1998 WT),0.7648182170440552,1.4233549961954333,0.0825279414538663,1.6179299154900257,APO
 23187 (2000 PN9),1.3792312704016216,-0.24167233659068574,-0.17631245667086587,1.4113009947931692,APO
 25143 Itokawa (1998 SF36),0.5645089463094228,-0.952513249085087,-0.02453182822075554,1.107498826519404,APO
 26663 (2000 XK47),0.3389941117544032,1.2516177348806883,0.23454257959624447,1.3177534609006656,APO
 27002 (1998 DV9),-1.0422888374054233,0.17450710476074643,0.10430381988420079,1.06193127698282,APO
 29075 (1950 DA),1.0769256782776486,-0.8477159074152287,-0.16818287417145528,1.3808246287574575,APO
 31669 (1999 JT6),2.147663274430582,-2.369965953941423,-0.4316498545105583,3.227308129088134,APO
 33342 (1998 WT24),-0.5501809142441992,0.23785388877067007,0.07487294356941382,0.6040525378480435,ATE
 35107 (1991 VH),0.38940917531152147,0.9880138220954263,-0.24859920712619743,1.0906935336070287,APO
 35396 (1997 XF11),-1.0363306845593874,1.7752891762136316,-0.14709707288681093,2.060890704475245,APO
 37638 (1993 VB),-1.2352354979464883,-0.10514283665150553,0.0698091461948969,1.2416662467743476,APO
 37655 Illapa (1994 PM),-0.7924060209781073,-2.099234929232101,0.6871374792647246,2.346668384241954,APO
 38071 (1999 GU3),0.4495008623107142,2.11452531925538,-0.4332997688962512,2.2047714259568236,AMO
 39572 (1993 DQ1),-0.5488041187373164,-1.0582921767027411,-0.19925272423533597,1.2086645275379233,AMO
 41429 (2000 GE2),-1.4830366128907944,1.733376675175086,0.056982837226226254,2.2819376277527805,APO
 52760 (1998 ML14),-2.7738396500203586,1.6335917109723679,0.021711976778248106,3.2192048229521393,APO
 52768 (1998 OR2),3.4088478235318798,1.544076738385782,-0.017223033545875906,3.742287147040782,APO
 53319 (1999 JM8),-2.3728785714564804,0.0773985046050798,0.4099766864993585,2.409278756571237,APO
 53426 (1999 SL5),-1.5288977958459338,0.0995203535892989,-0.5718055252470489,1.63535755406093,APO
 53550 (2000 BF19),-1.4449183974235447,0.7142213717426344,-0.07139655099129978,1.6133811733624541,APO
 53789 (2000 ED104),-1.5907834271926566,-0.3342498061040954,0.045170990734580696,1.626147368326556,APO
 65679 (1989 UQ),0.015101825935085411,0.9086147678817885,-0.020619074389624428,0.9089741513311227,ATE
 65690 (1991 DG),1.5386188501597289,0.1840798222113338,-0.03582542612454424,1.5500054219805837,APO
 65717 (1993 BX3),0.24647898647942562,1.001357831425694,-0.05005055363603319,1.0324603891930997,APO
 65803 Didymos (1996 GT),-2.0257318673584988,-1.0071672396150955,0.09785269330557779,2.2644095470061942,APO
